,hour,minute,time_of_day,approved,denied,failed,processing,refunded,reversed,total,time_bin
2023-01-01 11:00:00,11,4,664,0.8999028182701652,0.08989310009718172,0.0,0.0,0.0009718172983479105,0.006316812439261419,2058.0,3
2023-01-01 11:05:00,11,9,669,0.9038744482589505,0.08386463952918097,0.0,0.0,0.0029426189308484553,0.008827856792545365,2039.0,3
2023-01-01 11:10:00,11,14,674,0.91063404892661,0.08187718422366451,0.0,0.0,0.00199700449326011,0.003494757863205192,2003.0,3
2023-01-01 11:15:00,11,19,679,0.8960843373493976,0.09437751004016064,0.0,0.0,0.0015060240963855422,0.007028112449799197,1992.0,3
2023-01-01 11:20:00,11,24,684,0.9198606271777003,0.07615729218516674,0.0,0.0,0.0014932802389248383,0.0024888003982080635,2009.0,3
2023-01-01 11:25:00,11,29,689,0.8975230694511899,0.0932491500728509,0.0,0.0,0.001942690626517727,0.006313744536182613,2059.0,3
2023-01-01 11:30:00,11,34,694,0.9133333333333333,0.08,0.0,0.0,0.0010256410256410256,0.005128205128205128,1950.0,3
2023-01-01 11:35:00,11,39,699,0.9118773946360154,0.07998084291187739,0.0,0.0,0.0014367816091954023,0.006226053639846743,2088.0,3
2023-01-01 11:40:00,11,44,704,0.9069879518072289,0.08626506024096385,0.0,0.0,0.0,0.005783132530120482,2075.0,3
2023-01-01 11:45:00,11,49,709,0.9002444987775061,0.09339853300733496,0.0,0.0,0.0019559902200488996,0.003911980440097799,2045.0,3
2023-01-01 11:50:00,11,54,714,0.8935,0.099,0.0,0.0,0.001,0.005,2000.0,3
2023-01-01 11:55:00,11,59,719,0.9115902964959569,0.08194070080862534,0.0,0.0,0.0005390835579514825,0.005929919137466307,1855.0,3
2023-01-01 12:05:00,12,9,729,0.9098228663446055,0.08427267847557703,0.0,0.0,0.0005367686527106817,0.004830917874396135,1863.0,4
2023-01-01 12:10:00,12,14,734,0.9001711351968055,0.0901312036508842,0.0,0.0,0.0,0.008556759840273816,1753.0,4
2023-01-01 12:15:00,12,19,739,0.9098737083811711,0.08553386911595867,0.0,0.0,0.001148105625717566,0.0028702640642939152,1742.0,4
2023-01-01 12:20:00,12,24,744,0.9035563592525618,0.08800482218203737,0.0,0.0,0.0006027727546714888,0.004822182037371911,1659.0,4
2023-01-01 12:30:00,12,34,754,0.9106918238993711,0.08364779874213836,0.0,0.0,0.0018867924528301887,0.0031446540880503146,1590.0,4
2023-01-01 12:35:00,12,39,759,0.9029754204398448,0.08020698576972833,0.0,0.0,0.00129366106080207,0.01034928848641656,1546.0,4
2023-01-01 12:40:00,12,44,764,0.9109498680738787,0.07849604221635884,0.0,0.0,0.001978891820580475,0.007255936675461741,1516.0,4
2023-01-01 12:50:00,12,54,774,0.9027863777089783,0.0891640866873065,0.0,0.0,0.0006191950464396285,0.006811145510835914,1615.0,4
2023-01-01 12:55:00,12,59,779,0.8891038039974211,0.09413281753707285,0.0,0.0,0.0,0.012250161186331399,1551.0,4
2023-01-01 13:00:00,13,4,784,0.9022277227722773,0.07673267326732673,0.0,0.0,0.0012376237623762376,0.011757425742574257,1616.0,4
2023-01-01 13:05:00,13,9,789,0.9095052083333334,0.08528645833333333,0.0,0.0,0.0,0.005208333333333333,1536.0,4
2023-01-01 13:15:00,13,19,799,0.890452876376989,0.10281517747858017,0.0,0.0,0.0012239902080783353,0.0055079559363525096,1634.0,4
2023-01-01 13:20:00,13,24,804,0.9036375239310785,0.08806636885768986,0.0,0.0,0.0012763241863433313,0.006381620931716656,1567.0,4
2023-01-01 13:25:00,13,29,809,0.891290920321186,0.102532427424336,0.0,0.0,0.0024706609017912293,0.0030883261272390363,1619.0,4
2023-01-01 13:30:00,13,34,814,0.9212698412698412,0.07301587301587302,0.0,0.0,0.0019047619047619048,0.0025396825396825397,1575.0,4
2023-01-01 13:35:00,13,39,819,0.9132720105124835,0.08409986859395532,0.0,0.0,0.0,0.0019710906701708277,1522.0,4
2023-01-01 13:40:00,13,44,824,0.8990326481257558,0.094316807738815,0.0,0.0,0.0006045949214026602,0.006045949214026602,1654.0,4
2023-01-01 13:45:00,13,49,829,0.9013480392156863,0.09497549019607843,0.0,0.0,0.0012254901960784314,0.0024509803921568627,1632.0,4
2023-01-01 13:50:00,13,54,834,0.9071702944942381,0.088348271446863,0.0,0.0,0.002560819462227913,0.0019206145966709346,1562.0,4
2023-01-01 13:55:00,13,59,839,0.8952556993222428,0.09057301293900184,0.0,0.0,0.004313000616142945,0.006777572396796057,1623.0,4
2023-01-01 14:00:00,14,4,844,0.9141445336627548,0.07906114885731934,0.0,0.0,0.0018529956763434219,0.004323656578134651,1619.0,4
2023-01-01 14:05:00,14,9,849,0.909480122324159,0.08623853211009175,0.0,0.0,0.001834862385321101,0.0024464831804281344,1635.0,4
2023-01-01 14:10:00,14,14,854,0.9097922848664688,0.08367952522255193,0.0,0.0,0.0035608308605341245,0.002967359050445104,1685.0,4
2023-01-01 14:15:00,14,19,859,0.8991549295774648,0.09408450704225352,0.0,0.0,0.0022535211267605635,0.004507042253521127,1775.0,4
2023-01-01 14:20:00,14,24,864,0.909688013136289,0.08593322386425835,0.0,0.0,0.0010946907498631637,0.003284072249589491,1827.0,4
2023-01-01 14:25:00,14,29,869,0.9014008620689655,0.0894396551724138,0.0005387931034482759,0.0,0.0021551724137931034,0.005387931034482759,1856.0,4
2023-01-01 14:30:00,14,34,874,0.5986394557823129,0.08649173955296405,0.0,0.024295432458697766,0.0029154518950437317,0.27793974732750243,1029.0,4
2023-01-01 14:35:00,14,39,879,0.5506012024048096,0.11072144288577154,0.000501002004008016,0.01503006012024048,0.009018036072144289,0.3026052104208417,1996.0,4
2023-01-01 14:40:00,14,44,884,0.6417535034135825,0.10887531440891125,0.00035932446999640676,0.010420409629895796,0.009701760689902982,0.22134387351778656,2783.0,4
2023-01-01 15:05:00,15,9,909,0.7077833409194356,0.1356395084205735,0.0009103322712790169,0.014110150204824761,0.007282658170232135,0.12380518889394629,2197.0,4
2023-01-01 15:15:00,15,19,919,0.676747311827957,0.1431451612903226,0.0006720430107526882,0.004704301075268817,0.007056451612903226,0.15356182795698925,2976.0,4
2023-01-01 15:35:00,15,39,939,0.5309537088678193,0.10875627440044618,0.0,0.025655326268823202,0.006134969325153374,0.31176798661461236,1793.0,4
2023-01-01 15:55:00,15,59,959,0.47374562427071176,0.12018669778296383,0.0,0.03267211201866978,0.012835472578763127,0.323220536756126,857.0,4
2023-01-01 16:00:00,16,4,964,0.5244279529993816,0.09771181199752628,0.0,0.012368583797155226,0.015460729746444033,0.3246753246753247,1617.0,5
2023-01-01 16:05:00,16,9,969,0.465311004784689,0.11244019138755981,0.0,0.02033492822966507,0.011961722488038277,0.37200956937799046,836.0,5
2023-01-01 16:10:00,16,14,974,0.6271899088997898,0.102312543798178,0.0,0.008409250175192713,0.00700770847932726,0.2431674842326559,1427.0,5
2023-01-01 16:20:00,16,24,984,0.4939759036144578,0.11876075731497418,0.0,0.014629948364888123,0.00774526678141136,0.3442340791738382,1162.0,5
2023-01-01 16:25:00,16,29,989,0.503822629969419,0.10091743119266056,0.0,0.046636085626911315,0.009174311926605505,0.31422018348623854,1308.0,5
2023-01-01 16:35:00,16,39,999,0.7536231884057971,0.11365369946605644,0.0,0.006864988558352402,0.007882023900330536,0.1065344520722095,3933.0,5
2023-01-01 16:45:00,16,49,1009,0.8427073403241182,0.10152526215443279,0.0,0.00667302192564347,0.0038131553860819827,0.04003813155386082,2098.0,5
2023-01-01 16:50:00,16,54,1014,0.5494736842105263,0.10105263157894737,0.0,0.022105263157894735,0.007368421052631579,0.30736842105263157,950.0,5
2023-01-01 16:55:00,16,59,1019,0.6536601096420509,0.09738793937439535,0.0,0.004514672686230248,0.00709448564979039,0.22992583037729764,3101.0,5
2023-01-01 17:00:00,17,4,1024,0.7023809523809523,0.10476190476190476,0.0,0.03015873015873016,0.0031746031746031746,0.12857142857142856,1260.0,5
2023-01-01 17:05:00,17,9,1029,0.4869281045751634,0.06535947712418301,0.0,0.049019607843137254,0.006535947712418301,0.30392156862745096,306.0,5
2023-01-01 17:10:00,17,14,1034,0.5964266946925907,0.08512874408828167,0.0,0.005780346820809248,0.013137151865475564,0.28691539674198635,1903.0,5
2023-01-01 17:15:00,17,19,1039,0.5089041095890411,0.12945205479452054,0.0,0.015068493150684932,0.015068493150684932,0.29315068493150687,1460.0,5
2023-01-01 17:20:00,17,24,1044,0.565,0.14125,0.0,0.02125,0.00375,0.2175,800.0,5
2023-01-01 17:25:00,17,29,1049,0.6101010101010101,0.08282828282828283,0.0,0.03838383838383838,0.026262626262626262,0.2080808080808081,495.0,5
2023-01-01 17:30:00,17,34,1054,0.0,0.0,0.0,0.2,0.0,0.4,10.0,5
2023-01-01 17:35:00,17,39,1059,0.43661971830985913,0.06338028169014084,0.0,0.11267605633802817,0.0,0.3028169014084507,142.0,5
2023-01-01 17:40:00,17,44,1064,0.5133079847908745,0.06844106463878327,0.0,0.057034220532319393,0.0038022813688212928,0.28517110266159695,263.0,5
2023-01-01 17:45:00,17,49,1069,0.4423076923076923,0.04807692307692308,0.0,0.028846153846153848,0.0,0.36538461538461536,104.0,5
2023-01-01 17:50:00,17,54,1074,0.27586206896551724,0.06896551724137931,0.0,0.19540229885057472,0.034482758620689655,0.3103448275862069,87.0,5
2023-01-01 17:55:00,17,59,1079,0.5991189427312775,0.07488986784140969,0.0,0.05726872246696035,0.0,0.24669603524229075,227.0,5
2023-01-01 18:00:00,18,4,1084,0.6209964412811388,0.09608540925266904,0.0,0.01601423487544484,0.014234875444839857,0.22597864768683273,562.0,5
2023-01-01 18:05:00,18,9,1089,0.45932203389830506,0.08813559322033898,0.0,0.0288135593220339,0.013559322033898305,0.3389830508474576,590.0,5
